Name|md5|Machine|SizeOfOptionalHeader|Characteristics|MajorLinkerVersion|MinorLinkerVersion|SizeOfCode|SizeOfInitializedData|SizeOfUninitializedData|AddressOfEntryPoint|BaseOfCode|BaseOfData|ImageBase|SectionAlignment|FileAlignment|MajorOperatingSystemVersion|MinorOperatingSystemVersion|MajorImageVersion|MinorImageVersion|MajorSubsystemVersion|MinorSubsystemVersion|SizeOfImage|SizeOfHeaders|CheckSum|Subsystem|DllCharacteristics|SizeOfStackReserve|SizeOfStackCommit|SizeOfHeapReserve|SizeOfHeapCommit|LoaderFlags|NumberOfRvaAndSizes|SectionsNb|SectionsMeanEntropy|SectionsMinEntropy|SectionsMaxEntropy|SectionsMeanRawsize|SectionsMinRawsize|SectionMaxRawsize|SectionsMeanVirtualsize|SectionsMinVirtualsize|SectionMaxVirtualsize|ImportsNbDLL|ImportsNb|ImportsNbOrdinal|ExportNb|ResourcesNb|ResourcesMeanEntropy|ResourcesMinEntropy|ResourcesMaxEntropy|ResourcesMeanSize|ResourcesMinSize|ResourcesMaxSize|LoadConfigurationSize|VersionInformationSize|legitimate
benign2.exe|1eadd6dadfe2b689a72740e20d9ab6b1|332|224|291|14|29|428544|293376|0|261455|4096|434176|4194304|4096|512|6|0|0|0|6|0|733184|1024|754164|2|33024|1048576|4096|1048576|4096|0|16|4|6.0202696223924566|4.7720911094373495|6.913733840418957|179328.0|27136|428544|180378.75|31740|428543|7|172|0|0|10|4.828133183575983|2.718576739955766|7.950535332377276|5155.7|104|26385|188|0|1
benign1.exe|3065367eb9ec840bb7130f4418bf619c|332|224|258|9|0|283648|143872|0|202286|4096|290816|4194304|4096|512|5|0|0|0|5|0|446464|1024|404191|2|33088|1048576|4096|1048576|4096|0|16|5|5.187231757204723|4.013113263316899|6.5793349672161|85504.0|8192|283648|86913.6|16124|283234|9|265|0|0|43|3.6914000545403463|1.2516291673878228|6.523049825081558|1234.6976744186047|6|9640|72|0|1
malicious4|0c28ad34f90950bc784339ec9f50d288|332|224|271|6|0|118784|32768|0|77112|4096|122880|4194304|4096|4096|4|0|0|0|4|0|155648|4096|0|2|0|1048576|4096|1048576|4096|0|16|3|4.04657751145022|1.7112884944987132|6.644394965568532|49152.0|12288|118784|49024.0|9642|118142|3|81|0|0|0|0|0|0|0|0|0|0|0|0
malicious2|0b680e7bd5c0501d5dd73164122a7faf|332|224|271|6|0|19968|2048|0|23536|4096|24576|4194304|4096|512|4|0|0|0|4|0|32768|1024|59218|2|0|1048576|4096|1048576|4096|0|16|3|4.691997956969107|4.126004544844243|5.391457550762992|7168.0|512|19968|7167.333333333333|688|19820|5|33|0|0|0|0|0|0|0|0|0|0|0|0
malicious3|0c5e9f564115bfcbee66377a829de55f|332|224|271|6|0|9216|5120|0|12847|4096|16384|4194304|4096|512|4|0|0|0|4|0|24576|1024|0|2|0|1048576|4096|1048576|4096|0|16|3|5.396308669784485|4.676260023887542|6.316557211264885|4608.0|2048|9216|4558.0|2136|9198|6|80|0|0|0|0|0|0|0|0|0|0|0|0
malicious1|0b506c6dde8d07f9eeb82fd01a6f97d4|332|224|258|9|0|123904|53760|0|66194|4096|131072|4194304|4096|512|5|0|0|0|5|0|204800|1024|193450|2|33088|1048576|4096|1048576|4096|0|16|5|4.80282258338206|2.0897635308709965|6.6170674160147325|35532.8|512|123904|37778.8|436|123712|5|118|0|0|1|4.795973602273464|4.795973602273464|4.795973602273464|346.0|346|346|72|0|0
